image,prompt
0000.jpg,"temple in ruines, forest, stairs, columns, cinematic, detailed, atmospheric, epic, concept art, Matte painting, background, mist, photo-realistic, concept art, volumetric light, cinematic epic   rule of thirds octane render, 8k, corona render, movie concept art, octane render, cinematic, trending on artstation, movie concept art, cinematic composition , ultra-detailed, realistic , hyper-realistic , volumetric lighting, 8k"
0001.jpg,"waitress serving food in a 80's looking diner, hyper realistic, photo realistic, high resolution, studio photoshoot, depth of field"
0002.jpg,"albert einstein smoking a joint while levitating in midair, hallucinations of math formulas and equations and cosmic galaxies float in the air surrounding him, volumetric smoke, psychedelic photorealism"
0003.jpg,"The White Castle of the King, Many flowers, A few roses, clouds, dramatic clouds above, warrior in the garden, big warrior like berserker from the anime, pink, Miyazaki, Nausicaa Ghibli, Breath of The Wild, dreamy ultra wide shot, epic composition, atmospheric, hyper realistic, detailed post processing, unreal engine, 8k resolution, octane render, cinematic, ultra detailed"
0004.jpg,"digital painting of bronze metal raven, automaton, all metal, glowing magical eye, intricate details, perched on workshop bench, cinematic lighting, by greg rutkowski, in the style of midjourney"
0005.jpg,"A beautiful Giraffe in a dystopian post-apocalyptic colorful city overgrown with vegetation, reflective puddle, bright sunny day, realistic, highly detailed, 8k, cinematic lighting, octane render"
0006.jpg,"well lit fashion shoot portrait of handsome man wearing a metallic red inflatable oversized bubble puffer jacket designed by yeezy and balenciaga, sharp focus, clear, intricate, cinematic, glamourous, symmetrical, soft lighting, indirect lighting, vogue, editorial, fashion, magazine shoot"
0007.jpg,"small robot holding flowers, cute, pixar, unreal engine, tron, hyper detailed, volumetric lighting"
0008.jpg,"Close-up of Viking King emerging from wet black mud, Dark metal helmet with two large black horns on the sides of the helmet, dark warpaint, scruffy black beard, angry expression, scar on face, Viking Axe, cinematic lighting, volumetric rays, moody, wet, dripping mud"
0009.jpg,"oil painting with heavy impasto of a pirate ship and its captain, cosmic horror painting, elegant intricate artstation concept art by craig mullins detailed"
0010.jpg,"ultra realistic illustration and highly detailed digital render of panorama view in a dark underground cavern rich in huge colorful crystal deposits by greg rutkowski and kinkade, colorful crystals, highly detailed, vibrant and vivid, smooth, crystals, gems, geode, darkness, minereal deposits, cinematic, high contrast, hdr, 4 k, trending on artstation, unreal engine, magical, hyperrealistic, bokeh, dof "
0011.jpg,"a beautiful artwork illustration, concept art sketch of an astronaut in white futuristic cybernetic armor in a dark cave, volumetric fog, godrays, high contrast, vibrant colors, vivid colors, high saturation, by Greg Rutkowski and Jesper Ejsing and Raymond Swanland and alena aenami, featured on artstation, wide angle, vertical orientation"
0012.jpg,"professional portrait photograph of Gal Gadot in winter clothing with long wavy blonde hair, sultry flirty look, freckles, beautiful symmetrical face, cute natural makeup, standing outside in snowy city street, stunning modern urban upscale environment, ultra realistic, concept art, elegant, highly detailed, intricate, sharp focus, depth of field, f/1.8, 85mm, medium shot, mid shot, centered image composition, professionally color graded, bright soft diffused light, volumetric fog, trending on instagram, trending on tumblr, hdr 4k, 8k, Realistic, Cinematic"
0013.jpg,"Elsa, d & d, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by artgerm and greg rutkowski and alphonse mucha, 8k"
